,PRODUCTNAME,EPAREGISTRATIONNUMBER,PESTICIDEFORM,APPROVEDDATE,CANCELTRANSFERDATE,RESTRICTEDUSEPRODUCT,CONDITIONALLYFLAG,SIGNALWORD,ALTBRANDNAMELIST,COMPANY,AGENT,DISTRIBUTORLIST,FORMULATIONLIST,PESTLIST,SITELIST,PRODUCTMANAGERLIST,TRANSFERLIST,TYPESLIST
15732,Deltamethrin 0.4% Incorporated Polyethylene Screen,85787-1,10,2015-12-16, ,F,Y,Caution,,,,,,,,,,
15733,Handheld Electrochemical Decon Apparatus,85797-1,18,2015-07-23, ,F,Y,Warning,,,,,,,,,,
15734,OCEANIC DISINFECTANT CLEANER,85799-1,16,2010-05-27, ,F,N,Caution,,,,,,,,,,
15735,AGSAVER DICAMBA TECHNICAL,85806-4,01,2015-03-30, ,F,N,Danger,,,,,,,,,,
15736,A.S.GLYPHOSATE IPA SALT 62%,85806-2,  ,2010-06-16, ,F,N,Caution,,,,,,,,,,
15737,A.S. GLYPHOSATE TECHNICAL,85806-1,01,2010-06-16, ,F,N,Danger,,,,,,,,,,
15738,AGSAVER MEPIQUAT CHLORIDE TECHNICAL,85806-3,01,2007-03-30, ,F,Y,Warning,,,,,,,,,,
15739,SUPERNATURAL BRAND ROOTBURST POWDER (0.8%),83527-1,03,2006-10-26, ,F,N,Caution,,,,,,,,,,
15740,SHARDA FENOXAPROP-P-ETHYL 11.9 % EC,83529-118,  ,2020-05-07, ,F,N,Warning,,,,,,,,,,
15741,Sharda Tefluthrin 3% GR; ABN: Fence,83529-123,  ,2020-11-02, ,T,N,Warning,,,,,,,,,,
15742,SHARDA FLUAZIFOP-P-BUTYL 24.5% EC,83529-121,15,2020-01-22, ,F,N,Caution,,,,,,,,,,
15743,SHARDA ACETOCHLOR 30.2% + FOMESAFEN 7.1% SE II,83529-119,  ,2020-09-21, ,F,Y,Warning,,,,,,,,,,
15744,SHARDA FLUAZIFOP 24.15% + FENOXAPROP 6.76% EC,83529-122,  ,2020-06-29, ,F,N,Caution,,,,,,,,,,
15745,SHARDA CYHALOFOP 29.6% EC,83529-120,12,2020-01-27, ,F,N,Warning,,,,,,,,,,
15746,SHARDA ACETOCHLOR 31% + MESOTRIONE 3.3% + CLOPYRALID 2.7% SE,83529-115,  ,2019-10-16, ,F,Y,Warning,,,,,,,,,,
15747,SHARDA ACETOCHLOR 39.1% + MESOTRIONE 3.7% SE,83529-114,  ,2019-10-18, ,F,Y,Warning,,,,,,,,,,
15748,SHARDA ACETOCHLOR 46.3% + ATRAZINE 18.3% SE,83529-116,12,2019-09-26, ,F,Y,Caution,,,,,,,,,,
15749,SHARDA ATRAZINE 18.65% + METOLACHLOR 19% + MESOTRIONE 2.44% ZE,83529-113,12,2019-05-23, ,T,Y,Caution,,,,,,,,,,
15750,Sharda Metolachlor 48.28% + Fomesafen 10% EC,83529-76,12,2017-07-24, ,F,Y,Danger,,,,,,,,,,
15751,Sharda Metolachlor 58.52% + Metribuzin 13.93% EC,83529-70,12,2017-08-15, ,F,Y,Warning,,,,,,,,,,
15752,Sharda Azoxy 11% + Teb 18.35% SC,83529-58,15,2016-07-14, ,F,Y,Warning,,,,,,,,,,
15753,Sharda Quinclorac 75% DF,83529-75,14,2017-07-17, ,F,N,Warning,,,,,,,,,,
15754,SHARDA ACETOCHLOR 29% + ATRAZINE 14.5% CS,83529-87,12,2017-10-13, ,T,Y,Caution,,,,,,,,,,
15755,Sharda Metribuzin 75% DF,83529-81,12,2017-09-11, ,F,Y,Caution,,,,,,,,,,
15756,Sharda Fluroxypyr MHE 26.2% EC,83529-80,12,2017-08-25, ,F,Y,Warning,,,,,,,,,,
15757,Sharda Glyphosate 34% + Mesotrione 3.4%,83529-62,15,2016-09-12, ,F,N,Caution,,,,,,,,,,
15758,Sharda Metolachlor43.72%+Metribuzin6.14%+Imazethapyr1.38%EC,83529-69,12,2017-08-11, ,F,Y,Warning,,,,,,,,,,
15759,Sharda Quinclorac 61.98% + Imazethapyr 13.02% WDG,83529-83,11,2017-09-13, ,F,Y,Caution,,,,,,,,,,
15760,Sharda Mesotrione 40SC,83529-51,15,2016-04-06, ,F,Y,Caution,,,,,,,,,,
15761,SHARDA ACETOCHLOR 33.7% + DICHLORMID 5.8% CS ,83529-85,12,2017-10-12, ,F,Y,Caution,,,,,,,,,,
15762,Sharda Metolachlor 84.4EC-D,83529-57,12,2016-07-19, ,F,Y,Caution,,,,,,,,,,
15763,Sharda Sulfentrazone 33.3% + Imazethapyr 6.67% SC,83529-71,15,2017-07-03, ,F,N,Caution,,,,,,,,,,
15764,Sharda Metolachlor 86.4EC,83529-56,12,2016-07-19, ,F,Y,Caution,,,,,,,,,,
15765,SHARDA ACETOCHLOR 33.4% + ATRAZINE 26.9% SE,83529-93,15,2018-03-06, ,T,Y,Caution,,,,,,,,,,
15766,SHARDA ACIFLUORFEN 20.1% SL,83529-90,15,2018-09-04, ,F,Y,Danger,,,,,,,,,,
15767,Sharda Glufosinate 24.5% SL,83529-82,15,2017-08-31, ,F,N,Caution,,,,,,,,,,
15768,SHARDA CLOPYRALID 60% + FLUMETSULAM 18.5% WDG,83529-99,11,2018-06-26, ,F,Y,Warning,,,,,,,,,,
15769,SHARDA DICAMBA DMA 49.77% SL,83529-110,21,2018-11-08, ,F,Y,Caution,,,,,,,,,,
15770,SHARDA ACETOCHLOR 33% CS,83529-84,12,2017-09-27, ,F,Y,Caution,,,,,,,,,,
15771,SHARDA QUINCLORAC 40% SC,83529-94,12,2018-05-10, ,F,N,Caution,,,,,,,,,,
15772,Sharda Imidacloprid 0.5% + Tricosene 0.1% WG,83529-54,04,2016-09-26, ,F,Y,Caution,,,,,,,,,,
15773,Sharda Fluroxypyr MHE 45.5% EC,83529-68,12,2017-05-15, ,F,N,Warning,,,,,,,,,,
15774,SHARDA GLYPHOSATE 20.5 % + METOLACHLOR 20.5 % + MESOTRIONE 2.05 % ZC,83529-111,14,2019-08-21, ,F,Y,Caution,,,,,,,,,,
15775,SHARDA ACETOCHLOR 24.8% + ATRAZINE 16.6% SE,83529-91,  ,2018-03-06, ,T,Y,Caution,,,,,,,,,,
15776,A-ZOX 50WDG,83529-65,15,2017-02-17, ,F,Y,Caution,,,,,,,,,,
15777,SHARDA ATRAZINE 33% + METOLACHLOR 26.1% SE ,83529-95,12,2018-04-26, ,T,Y,Caution,,,,,,,,,,
15778,Sharda Clopyralid 40.9% EC,83529-74,12,2017-07-03, ,F,N,Caution,,,,,,,,,,
15779,SHARDA GLUFOSINATE AMMONIUM 120 G/L + GLYPHOSATE ACID 360 G/L SL,83529-107,15,2018-12-27, ,F,N,Caution,,,,,,,,,,
15780,SHARDA IMIDACLOPRID 10% + TRICOSENE 0.1% WG,83529-63,11,2017-01-17, ,F,Y,Caution,,,,,,,,,,
15781,Sharda Glyphosate IPA + Diquat Dibromide,83529-55,15,2016-06-09, ,F,N,Caution,,,,,,,,,,
15782,SHARDA IMIDACLOPRID 11.3% + BIFENTHRIN 11.3% SC ,83529-61,16,2016-06-13, ,T,Y,Warning,,,,,,,,,,
15783,Sharda Imidacloprid+Metalaxyl+Tebuconazole ST,83529-67,15,2017-01-05, ,F,Y,Caution,,,,,,,,,,
15784,SHARDA ACETOCHLOR 41.67% + CLOPYRALID 4.27% + FLUMETSULAM 1.3% SE,83529-105,15,2018-09-10, ,F,Y,Caution,,,,,,,,,,
15785,Sharda Imazethapyr 2,83529-50,15,2016-06-09, ,F,Y,Caution,,,,,,,,,,
15786,Sharda Metolachlor 55.49% + Imazethapyr 2.77% EC,83529-72,12,2017-07-10, ,F,Y,Caution,,,,,,,,,,
15787,SHARDA FLUMETSULAM 80% WDG,83529-96,11,2018-04-26, ,F,N,Caution,,,,,,,,,,
15788,ACETOCHLOR 70.87% EC SAFENED,83529-73,12,2017-07-14, ,F,N,Warning,,,,,,,,,,
15789,Sharda Metribuzin 27% + Sulfentrazone 18% DF,83529-112,11,2019-04-09, ,F,Y,Caution,,,,,,,,,,
15790,Sharda Sulfentrazone 62.22% + Chlorimuron 7.78% WDG,83529-97,11,2018-06-12, ,F,N,Caution,,,,,,,,,,
15791,SHARDA ACETOCHLOR 75.9% EC,83529-106,12,2019-05-16, ,F,Y,Caution,,,,,,,,,,
15792,Sharda Cloransulam 84% WDG,83529-98,  ,2018-06-29, ,F,N,Caution,,,,,,,,,,
15793,Sharda Sulfentrazone 39.6% SC,83529-89,  ,2018-01-19, ,F,N,Caution,,,,,,,,,,
15794,Sharda Bentazon 5L,83529-66,15,2016-12-12, ,F,N,Danger,,,,,,,,,,
15795,Sharda Bifenthrin 7.9SC,83529-60,15,2016-07-18, ,F,Y,Caution,,,,,,,,,,
15796,SHARDA ACETOCHLOR 30.2% + FOMESAFEN 7.1% SE,83529-102,15,2018-09-13, ,F,Y,Danger,,,,,,,,,,
15797,Sharda Lactofen 24% EC,83529-78,12,2017-07-26, ,F,N,Danger,,,,,,,,,,
15798,A-ZOX 25SC,83529-64,15,2017-02-17, ,F,Y,Caution,,,,,,,,,,
15799,Sharda Bifenthrin 17.15% LFR,83529-79,12,2017-07-05, ,T,Y,Warning,,,,,,,,,,
15800,Sharda Fluroxypyr 12.3% + Clopyralid 11.3% EC,83529-86,12,2017-10-03, ,F,Y,Caution,,,,,,,,,,
15801,Sharda Tebuconazole 28.3% ST,83529-52,12,2016-04-15, ,F,N,Caution,,,,,,,,,,
15802,SHARDA GLYPHOSATE 31.75% + FOMESAFEN 5.88% SL,83529-100,12,2018-07-02, ,F,N,Danger,,,,,,,,,,
15803,Sharda Sulfentrazone 62.1% + Cloransulam 7.9%  DF,83529-101,11,2018-07-05, ,F,Y,Caution,,,,,,,,,,
15804,SHARDA ACETOCHLOR 32.6% + ATRAZINE 24.4% SE ,83529-92,15,2018-03-06, ,F,Y,Warning,,,,,,,,,,
15805,Sharda Fluroxypyr (MHE) 15.3% + Dicamba 12.0% EC,83529-77,12,2017-07-31, ,F,Y,Caution,,,,,,,,,,
15806,FLUFENACET 500 SC HERBICIDE,83529-39,15,2014-10-20, ,F,N,Warning,,,,,,,,,,
15807,Azoxy + Propi SE,83529-49,12,2016-03-17, ,F,Y,Warning,,,,,,,,,,
15808,SHARDA BIFENTHRIN 2E ,83529-48,12,2015-10-30, ,T,Y,Warning,,,,,,,,,,
15809,AXYL-SHIELD 2E FOLIAR,83529-42,12,2015-02-20, ,F,Y,Danger,,,,,,,,,,
15810,SHOTARAN 4SC,83529-33,14,2013-03-15, ,F,N,Caution,,,,,,,,,,
15811,Sharda Metribuzin 4SC,83529-46,14,2015-12-02, ,F,Y,Caution,,,,,,,,,,
15812,Metribuzin 70 WDG,83529-44,04,2015-11-20, ,F,Y,Caution,,,,,,,,,,
15813,SHARDA CHLORIMURON + METRIBUZIN WDG,83529-41,11,2014-10-23, ,F,Y,Caution,,,,,,,,,,
15814,SHARDA CHLORIMURON 25 WDG,83529-40,15,2014-10-02, ,F,Y,Caution,,,,,,,,,,
15815,HEXY 1E,83529-37,12,2014-03-11, ,F,N,Caution,,,,,,,,,,
15816,SHARDA GLYPHOSATE IPA + IMAZETHAPYR,83529-47,15,2015-09-24, ,F,Y,Warning,,,,,,,,,,
15817,BASHAZON HERBICIDE,83529-32,15,2012-11-09, ,F,N,Caution,,,,,,,,,,
15818,SHARDA METALAXYL 2.7SC,83529-36,15,2014-02-20, ,F,N,Caution,,,,,,,,,,
15819,SHARDA DICAMBA DGA 4,83529-35,15,2014-01-29, ,F,N,Caution,,,,,,,,,,
15820,HEXY 50WDG,83529-34,15,2014-02-27, ,F,N,Caution,,,,,,,,,,
15821,PARAQUAT CONCENTRATE,83529-27,15,2011-03-24, ,T,N,Danger,,,,,,,,,,
15822,SHYPHO 41% SL,83529-19,15,2009-09-15, ,F,Y,Caution,,,,,,,,,,
15823,SHAR-P50,83529-31,15,2011-12-28, ,F,N,Caution,,,,,,,,,,
15824,SHARDA IMIDACLOPRID 70 WDG,83529-21,11,2010-02-03, ,F,Y,Caution,,,,,,,,,,
15825,SHAFEN STAR,83529-25,15,2010-10-15, ,F,N,Warning,,,,,,,,,,
15826,SHAR-GUARD,83529-22,12,2010-02-26, ,F,N,Warning,,,,,,,,,,
15827,SHARDA FOMESAFEN 2 SL,83529-16,15,2008-12-22, ,F,Y,Danger,,,,,,,,,,
15828,MIDASH FORTE INSECTICIDE,83529-6,14,2007-05-16, ,F,Y,Caution,,,,,,,,,,
15829,SHARDA IMIDACLOPRID 5SC,83529-14,  ,2008-01-28, ,F,Y,Caution,,,,,,,,,,
15830,QUIZALOFOP EC,83529-15,12,2008-12-16, ,F,Y,Danger,,,,,,,,,,
15831,SHAR-TEB 3.6FL FUNGICIDE,83529-11,14,2007-09-12, ,F,Y,Caution,,,,,,,,,,
15832,SHARDA IMIDACLOPRID 2 SC,83529-4,12,2007-02-05, ,F,Y,Caution,,,,,,,,,,
15833,SHARDA IMIDACLOPRID 2SC PCO,83529-3,12,2007-02-01, ,F,Y,Caution,,,,,,,,,,
15834,SHARDA IMIDACLOPRID 2SC T&O,83529-2,12,2007-02-01, ,F,Y,Caution,,,,,,,,,,
15835,SHARDA DIQUAT DIBROMIDE 37.3% SL,83529-12,15,2007-11-16, ,F,Y,Caution,,,,,,,,,,
15836,SHARDA DIQUAT DIBROMIDE 37.3% SL AG,83529-13,15,2007-12-14, ,F,Y,Caution,,,,,,,,,,
15837,LC-2010-4 FIPRONIL AND S-METHOPRENE FOR DOGS,85495-2,16,2011-01-10, ,F,Y,Caution,,,,,,,,,,
15838,LC-2010-3 FIPRONIL AND S-METHOPRENE FOR CATS,85495-1,16,2011-01-10, ,F,Y,Caution,,,,,,,,,,
15839,YGIENE 206,81242-1,16,2011-02-24, ,F,Y,Danger,,,,,,,,,,
15840,VACCIPLANT,83941-2,12,2010-02-15, ,F,N,Caution,,,,,,,,,,
15841,TIDE DIFLUBENZURON TECHNICAL,81964-8,01,2016-03-08, ,F,Y,Caution,,,,,,,,,,
15842,Tide Glufosinate-Ammonium Technical,81964-11,01,2019-03-21, ,F,N,Caution,,,,,,,,,,
15843,Tide Propiconazole Technical II,81964-14,  ,2020-10-20, ,F,Y,Warning,,,,,,,,,,
15844,TIDE AZOXYSTROBIN TECHNICAL,81964-5,01,2015-07-31, ,F,Y,Warning,,,,,,,,,,
15845,TIDE TRIADIMEFON TECHNICAL,81964-4,02,2014-09-19, ,F,N,Caution,,,,,,,,,,
15846,TIDE MESOTRIONE TECHNICAL,81964-9,01,2015-12-21, ,F,Y,Caution,,,,,,,,,,
15847,TIDE DIURON TECHNICAL,81964-7,01,2015-08-17, ,F,N,Caution,,,,,,,,,,
15848,TEBUCONAZOLE TECHNICAL FUNGICIDE,81964-12,01,2007-09-06, ,F,Y,Caution,,,,,,,,,,
15849,ACEPHATE TECHNICAL,81964-1,01,2005-08-26, ,F,Y,Caution,,,,,,,,,,
15850,CHLORINE LIQUEFIED GAS UNDER PRESSURE,81987-1,16,2006-04-18, ,F,N,Danger,,,,,,,,,,
15851,DUOMAX,84374-1,15,2008-03-27, ,T,Y,Warning,,,,,,,,,,
15852,SMART CHLORINATING SOLUTION,84517-3,15,1990-03-09, ,F,N,Danger,,,,,,,,,,
15853,HALOHPC,84526-2,16,2009-10-15, ,F,N,Danger,,,,,,,,,,
15854,HALOC50,84526-3,15,2010-04-12, ,F,N,Danger,,,,,,,,,,
15855,HALOMIST,84526-6,16,2013-12-18, ,F,Y,Caution,,,,,,,,,,
15856,HALOSPRAY,84526-1,16,2008-04-16, ,F,N,Caution,,,,,,,,,,
15857,CUPRON CUPROUS OXIDE POWDER,84542-13,03,2014-04-29, ,F,N,Warning,,,,,,,,,,
15858,CUPRON ANTI-FUNGAL FIBERS AND FABRICS III,84542-11,10,2013-06-06, ,F,Y,No Signal Word,,,,,,,,,,
15859,CUPRON ANTI-FUNGAL FIBERS AND FABRICS II,84542-10,10,2013-06-06, ,F,Y,No Signal Word,,,,,,,,,,
15860,ANTIMICROBIAL CUPRON ENHANCED EOS SURFACE,84542-7,10,2012-09-11, ,F,N,No Signal Word,,,,,,,,,,
15861,CUPRON CUPROUS IODIDE MASTERBATCH,84542-9,01,2015-10-06, ,F,Y,Warning,,,,,,,,,,
15862,CUPRON CUPROUS OXIDE 95,84542-5,07,2011-05-10, ,F,N,Caution,,,,,,,,,,
15863,CUPRON CUPROUS OXIDE,84542-3,01,2009-04-30, ,F,N,Warning,,,,,,,,,,
15864,CLEANWELL BOTANICAL DISINFECTANT WIPE,84683-6,10,2014-01-10, ,F,N,Caution,,,,,,,,,,
15865,CLEAN WELL BROAD SPECTRUM DISINFECTANT,84683-5,16,2011-05-04, ,F,N,Caution,,,,,,,,,,
15866,BENEFECT BOTANICAL DAILY CLEANER DISINFECTANT TOWELETTE,84683-4,10,2006-07-14, ,F,N,Caution,,,,,,,,,,
15867,BENEFECT BOTANICAL DAILY CLEANER DISINFECTANT SPRAY,84683-3,16,2006-07-14, ,F,N,Caution,,,,,,,,,,
15868,BENEFECT BIOCIDE AD,84683-2,16,2005-11-15, ,F,Y,Caution,,,,,,,,,,
15869,BENEFECT BROAD SPECTRUM DISINFECTANT,84683-1,16,2003-03-19, ,F,Y,Caution,,,,,,,,,,
15870,PEROXY HDOX,84198-1,15,2008-05-22, ,F,N,Warning,,,,,,,,,,
15871,BELLICIDE ISO,84377-2,16,2018-08-20, ,F,Y,Danger,,,,,,,,,,
15872,BELLICIDE,84377-1,14,2011-01-11, ,F,N,Danger,,,,,,,,,,
15873,KILLER FOR ICE PLANT WEEDS,84396-30,19,1995-05-18, ,F,Y,Caution,,,,,,,,,,
15874,"RODSPRAY FLY, COCKROACH, AND ANT KILLER",84396-43,16,1992-07-07, ,F,Y,Caution,,,,,,,,,,
15875,AXENIPLEX SD,84545-14,01,2018-08-28, ,F,Y,Danger,,,,,,,,,,
15876,STERIPLEX SD (PART A),84545-11,  ,2011-12-23, ,F,N,Caution,,,,,,,,,,
15877,STERIPLEX SD ACTIVATOR (PART B),84545-10,15,2011-12-23, ,F,N,Danger,,,,,,,,,,
15878,PERADOX HC ACTIVATOR SOLUTION PART B,84545-5,  ,2009-11-02, ,F,N,Danger,,,,,,,,,,
15879,PERADOX HC SOLUTION PART A,84545-4,15,2009-11-02, ,F,N,Caution,,,,,,,,,,
15880,Revere Antimicrobial Copper,85341-3,  ,2020-11-05, ,F,Y,No Signal Word,,,,,,,,,,
15881,TECCARE CONTROL,85343-1,15,2013-08-13, ,F,Y,Danger,,,,,,,,,,
15882,BI-OME AM5,85348-2,15,2019-06-28, ,F,Y,Warning,,,,,,,,,,
15883,VSC 7200,85348-1,02,2009-03-18, ,F,N,Danger,,,,,,,,,,
15884,CUVERRO VI,85353-6,15,2013-05-01, ,F,N,No Signal Word,,,,,,,,,,
15885,CUVERRO II,85353-2,16,2008-12-23, ,F,N,No Signal Word,,,,,,,,,,
15886,CUVERRO III,85353-3,91,2008-12-23, ,F,N,No Signal Word,,,,,,,,,,
15887,CUVERRO I,85353-1,15,2008-12-23, ,F,N,No Signal Word,,,,,,,,,,
15888,CUVERRO V,85353-5,10,2008-12-23, ,F,N,No Signal Word,,,,,,,,,,
15889,MalEx CitrusLeafminer,85354-5,16,2016-04-20, ,F,Y,Caution,,,,,,,,,,
15890,"A.S. (Z,Z)-7,11-Hexadecadienal",85354-2,01,2013-11-25, ,F,N,Caution,,,,,,,,,,
15891,"A.S. (Z,Z,E)-7,11,13-Hexadecatrienal",85354-3,02,2013-09-17, ,F,N,Caution,,,,,,,,,,
15892,MALEX SHOOTBORER,85354-1,16,2008-09-24, ,F,Y,Caution,,,,,,,,,,
15893,Acifluorfen Technical,85678-61,  ,2019-12-30, ,F,N,Danger,,,,,,,,,,
15894,METRIBUZIN 64.3% + CHLORIMURON 10.7% WDG,85678-68,  ,2019-12-09, ,F,Y,Caution,,,,,,,,,,
15895,Propiconazole 4L,85678-70,  ,2020-05-01, ,F,Y,Caution,,,,,,,,,,
15896,Flumioxazin 44% SC - Non-Crop,85678-62,15,2019-03-27, ,F,N,Caution,,,,,,,,,,
15897,TEBUCONAZOLE 39.5%,85678-73,  ,2020-03-23, ,F,N,Caution,,,,,,,,,,
15898,Acifluorfen 44% MUP,85678-66,  ,2020-04-06, ,F,N,Danger,,,,,,,,,,
15899,Glufosinate 50% MUP,85678-72,  ,2020-04-01, ,F,N,Caution,,,,,,,,,,
15900,Azoxystrobin 22.9% SC,85678-69,  ,2019-11-18, ,F,N,Caution,,,,,,,,,,
15901,Bifenthrin 2E,85678-67,12,2019-12-05, ,T,Y,Warning,,,,,,,,,,
15902,Bifenthrin Technical,85678-65,01,2019-11-18, ,F,Y,Warning,,,,,,,,,,
15903,DICAMBA TECHNICAL,85678-40,01,2017-04-18, ,F,Y,Danger,,,,,,,,,,
15904,Imazethapyr Technical,85678-56,01,2018-11-13, ,F,N,Caution,,,,,,,,,,
15905,FOMESAFEN 2 SL,85678-38,15,2016-06-09, ,F,N,Danger,,,,,,,,,,
15906,REDEAGLE FLUMIOXAZIN 51% WDG - NONCROP,85678-35,04,2015-12-30, ,F,Y,Caution,,,,,,,,,,
15907,Clethodim 70% MUP,85678-39,01,2016-10-26, ,F,N,Warning,,,,,,,,,,
15908,Flumioxazin 29% + Chlorimuron-ethyl 11% WDG,85678-48,11,2017-11-01, ,F,N,Caution,,,,,,,,,,
15909,Flumioxazin 44% SC,85678-53,15,2018-04-05, ,F,Y,Caution,,,,,,,,,,
15910,Dicamba 708 g/L Salt,85678-46,21,2017-10-02, ,F,Y,Caution,,,,,,,,,,
15911,Glufosinate 280SL,85678-42,15,2016-12-12, ,F,N,Warning,,,,,,,,,,
15912,Azoxystrobin Technical,85678-60,01,2019-08-15, ,F,N,Caution,,,,,,,,,,
15913,CHLORIMURON ETHYL TECHNICAL,85678-43,01,2017-08-15, ,F,N,Caution,,,,,,,,,,
15914,Sulfentrazone 39.6% SC,85678-59,15,2018-07-18, ,F,N,Caution,,,,,,,,,,
15915,Acephate Technical,85678-52,01,2018-08-30, ,F,Y,Caution,,,,,,,,,,
15916,Metribuzin 75% DF,85678-50,11,2017-12-21, ,F,Y,Caution,,,,,,,,,,
15917,Dicamba 49.8% SL,85678-47,15,2017-09-27, ,F,Y,Caution,,,,,,,,,,
15918,SULFENTRAZONE TECHNICAL,85678-45,01,2017-10-31, ,F,N,Caution,,,,,,,,,,
15919,Paraquat 43.2% SL,85678-58,15,2018-07-20, ,T,Y,Danger,,,,,,,,,,
15920,FOMESAFEN SODIUM SC,85678-41,15,2016-10-27, ,F,N,Warning,,,,,,,,,,
15921,Imazethapyr 22.87% SL,85678-57,15,2018-06-06, ,F,Y,Caution,,,,,,,,,,
15922,RedEagle Metribuzin Technical,85678-44,01,2017-09-06, ,F,Y,Warning,,,,,,,,,,
15923,Chlorimuron-ethyl 25% WDG,85678-49,11,2017-11-15, ,F,N,Caution,,,,,,,,,,
15924,Glufosinate Ammonium Technical,85678-37,01,2016-10-26, ,F,N,Caution,,,,,,,,,,
15925,Paraquat Manufacturing Concentrate,85678-51,02,2018-08-27, ,F,Y,Danger,,,,,,,,,,
15926,REDEAGLE FLUMIOXAZIN 51% WDG,85678-34,  ,2015-07-16, ,F,Y,Caution,,,,,,,,,,
15927,FLUMIOXAZIN TECHNICAL,85678-32,01,2015-11-03, ,F,Y,Caution,,,,,,,,,,
15928,Fomesafen Technical,85678-36,01,2016-07-14, ,F,N,Danger,,,,,,,,,,
15929,CLETHODIM 37% MUP,85678-31,01,2015-08-31, ,F,N,Caution,,,,,,,,,,
15930,BENTAZON TECHNICAL,85678-19,01,2011-11-16, ,F,N,Warning,,,,,,,,,,
15931,TRIBUFOS TECHNICAL,85678-10,01,2011-02-28, ,F,N,Warning,,,,,,,,,,
15932,DIURON 4L,85678-24,14,2012-01-10, ,F,N,Caution,,,,,,,,,,
15933,CAPTAN TECHNICAL II,85678-28,01,2013-01-03, ,F,N,Danger,,,,,,,,,,
15934,CLETHODIM TECHNICAL,85678-21,01,2012-01-04, ,F,N,Warning,,,,,,,,,,
15935,CAPTAN 80 WDG,85678-14,11,2011-06-14, ,F,Y,Danger,,,,,,,,,,
15936,CAPTAN TECHNICAL,85678-8,01,2010-12-14, ,F,Y,Danger,,,,,,,,,,
15937,CAPTAN 4L,85678-13,15,2011-06-14, ,F,Y,Danger,,,,,,,,,,
15938,CLETHODIM 2E,85678-23,15,2012-01-17, ,F,N,Caution,,,,,,,,,,
15939,BENTAZON 4,85678-22,15,2012-01-06, ,F,N,Caution,,,,,,,,,,
15940,ETHEPHON 6,85678-5,16,2009-11-25, ,F,Y,Danger,,,,,,,,,,
15941,ETHEPHON 78% MUP,85678-4,02,2010-02-23, ,F,Y,Danger,,,,,,,,,,
15942,TRIBUFOS 6,85678-15,16,2011-05-18, ,F,N,Danger,,,,,,,,,,
15943,ACIFLUORFEN 2,85678-18,15,2011-10-06, ,F,N,Danger,,,,,,,,,,
15944,ETHEPHON 2,85678-9,14,2010-10-22, ,F,Y,Danger,,,,,,,,,,
15945,DIURON TECHNICAL,85678-20,01,2012-02-01, ,F,N,Caution,,,,,,,,,,
15946,PROXI HOME GENERAL DISINFECTANT CLEANER SPRAY,85837-4,16,2012-12-06, ,F,N,Caution,,,,,,,,,,
15947,DETERGENT DISINFECTANT PUMP SPRAY,85837-1,16,2008-03-27, ,F,Y,Caution,,,,,,,,,,
15948,HIGH STRENGTH SODIUM HYPOCHLORITE,85374-1,15,2010-04-27, ,F,Y,Danger,,,,,,,,,,
15949,10% SODIUM HYPOCHLORITE,85374-20002,15,2008-10-09, ,F,N,Danger,,,,,,,,,,
15950,12.5% SODIUM HYPOCHLORITE MUP,85374-20007,15,2008-08-04, ,F,N,Danger,,,,,,,,,,
15951,12.5% SODIUM HYPOCHLORITE,85374-20001,15,2008-08-04, ,F,N,Danger,,,,,,,,,,
15952,Cyromazione Technical II,83558-37,01,2018-09-04, ,F,Y,Caution,,,,,,,,,,
15953,Pymetrozine Technical II,83558-38,01,2018-07-25, ,F,Y,Caution,,,,,,,,,,
15954,THIOPHANATE-METHYL TECHNICAL,83558-21,01,2001-02-12, ,F,Y,Caution,,,,,,,,,,
15955,ISOXABEN TECHNICAL,83558-36,01,2010-07-01, ,F,N,Caution,,,,,,,,,,
15956,SULFOMETURON METHYL TECHNICAL,83558-9,01,2002-08-21, ,F,Y,Caution,,,,,,,,,,
15957,ORYZALIN 4MC,83558-24,02,2002-03-14, ,F,Y,Caution,,,,,,,,,,
15958,IMIDACLOPRID TECHNICAL,83558-34,01,2009-10-21, ,F,Y,Warning,,,,,,,,,,
15959,TECHNICAL PICLORAM,83558-15,01,2009-02-23, ,F,N,Warning,,,,,,,,,,
15960,TEBUTHIURON TECHNICAL,83558-33,01,2009-06-22, ,F,Y,Warning,,,,,,,,,,
15961,QUINCLORAC TECHNICAL,83558-14,01,2009-05-11, ,F,Y,Caution,,,,,,,,,,
15962,TRINEXAPAC-ETHYL TECHNICAL,83558-31,01,2007-06-29, ,F,Y,Caution,,,,,,,,,,
15963,IPRODIONE TECHNICAL,83558-7,01,2007-07-30, ,F,Y,Caution,,,,,,,,,,
15964,TRICLOPYR TECHNICAL (BEE),83558-30,01,2006-01-05, ,F,Y,Caution,,,,,,,,,,
15965,TRICLOPYR TECHNICAL (ACID),83558-29,01,2005-11-04, ,F,Y,Caution,,,,,,,,,,
15966,TRICLOPYR TEA MC,83558-28,02,2005-11-04, ,F,Y,Danger,,,,,,,,,,
15967,ETHEPHON 71.3% SL,83558-27,02,2004-10-21, ,F,Y,Danger,,,,,,,,,,
15968,OXADIAZON 50 MC,83558-17,14,2004-10-08, ,F,Y,Warning,,,,,,,,,,
